Q042	5864.1	4521	49.5	60
Q040	5603.1	4406	27.2	65
Q036	5377.7	4329	17.7	60
Q051	6288.4	4656	16	46.9
Q048	6063.6	4553	45.7	60
Q056	6487.1	4631	19.8	35
Q021	4456	4360	38.1	18
Q030	5107.1	4356	17.6	20
Q028	4923.5	4349	28.8	30
Q027	4802.5	4021	34.9	80
Q022	4470.3	4257	49	39
Q023	4483.9	4157	57.9	70
Q019	4286.6	4228	59.9	56.8
Q015	4107.4	4181	62.2	60
Q006	3514.6	4205	51.4	30
Q004	3346.1	4203	34.4	15
Q012	3910.3	4134	53.6	54
Q009	3701.3	4291	49.1	42
Q003	3161.1	3733	36.9	98
H060	6401.1	4044	10.1	120
H055	6452.6	4775	35.5	33
H054	6437.3	4824	36.8	15
H047	6052.8	4612	35.7	40.5
H046	6036.2	4669	36.5	30
H039	5578.3	4502	37.4	40
H034	5323.6	4525	18.9	30
H031	5129.7	4259	39.3	50
H049	6087.3	4455	44.1	84
H043	5883.1	4405	42.5	78
H052	6276.9	4605	14.9	50
H053	6299.8	4510	11	72
H033	5214.3	3900	31.9	121
H038	5578.8	4573	46	37.5
H032	5162.8	4131	16.4	60
H044	5894.9	4314	35.9	80
H029	5085	4474	24.5	60
H026	4773.4	4205	31	72
H020	4320.2	4000	50.1	90
H025	4743	4373	46.8	48
H018	4164.1	3750	30.3	121
H024	4521.6	3922	40.5	95
H014	4084.4	4323	43	36
H013	3950.6	3903	46.2	100
H011	3880.4	4347	40.3	40
H016	4113.7	4096	58.1	75
H007	3531.8	4086	44.4	45
H005	3361.4	3886	40.9	80
H017	4139.7	3929	48.8	95
H008	3556.7	3854	30	80
H001	3106.3	4130	32.4	20
H002	3124	3974	32.8	50
H058	6557	4315	29.5	100
H050	6250.7	4730	18	10
H045	6021.3	4732	36.9	15
H010	3749.1	3936	47.3	95
H061	5704.9	4109	22.4	110
H057	6511.9	4517	39	75
H035	5354.5	4418	18.6	50
H041	5747.9	4646	46	44.3
H037	5609.1	4612	40	37.5
Q042	5864.1	4521	49.5	60
Q040	5603.1	4406	27.2	65
Q036	5377.7	4329	17.7	60
Q051	6288.4	4656	16	46.9
Q048	6063.6	4553	45.7	60
Q056	6487.1	4631	19.8	35
Q021	4456	4360	38.1	18
Q030	5107.1	4356	17.6	20
Q028	4923.5	4349	28.8	30
Q027	4802.5	4021	34.9	80
Q022	4470.3	4257	49	39
Q023	4483.9	4157	57.9	70
Q019	4286.6	4228	59.9	56.8
Q015	4107.4	4181	62.2	60
Q006	3514.6	4205	51.4	30
Q004	3346.1	4203	34.4	15
Q012	3910.3	4134	53.6	54
Q009	3701.3	4291	49.1	42
Q003	3161.1	3733	36.9	98
H060	6401.1	4044	10.1	120
H055	6452.6	4775	35.5	33
H054	6437.3	4824	36.8	15
H047	6052.8	4612	35.7	40.5
H046	6036.2	4669	36.5	30
H039	5578.3	4502	37.4	40
H034	5323.6	4525	18.9	30
H031	5129.7	4259	39.3	50
H049	6087.3	4455	44.1	84
H043	5883.1	4405	42.5	78
H052	6276.9	4605	14.9	50
H053	6299.8	4510	11	72
H033	5214.3	3900	31.9	121
H038	5578.8	4573	46	37.5
H032	5162.8	4131	16.4	60
H044	5894.9	4314	35.9	80
H029	5085	4474	24.5	60
H026	4773.4	4205	31	72
H020	4320.2	4000	50.1	90
H025	4743	4373	46.8	48
H018	4164.1	3750	30.3	121
H024	4521.6	3922	40.5	95
H014	4084.4	4323	43	36
H013	3950.6	3903	46.2	100
H011	3880.4	4347	40.3	40
H016	4113.7	4096	58.1	75
H007	3531.8	4086	44.4	45
H005	3361.4	3886	40.9	80
H017	4139.7	3929	48.8	95
H008	3556.7	3854	30	80
H001	3106.3	4130	32.4	20
H002	3124	3974	32.8	50
H058	6557	4315	29.5	100
H050	6250.7	4730	18	10
H045	6021.3	4732	36.9	15
H010	3749.1	3936	47.3	95
H061	5704.9	4109	22.4	110
H057	6511.9	4517	39	75
H035	5354.5	4418	18.6	50
H041	5747.9	4646	46	44.3
H037	5609.1	4612	40	37.5
