Q028	A2	3.09	3.19	1.63	6.5	39.9	25.6	19	0.2	6895
Q028	A2	3.19	6	1.29	6.1	5.8	37	35.1	0.2	6957
Q028	A2	6	6.1	1.35	6.9	7.7	37.8	35.6	0.2	6906
Q028	A2	6.43	6.53	1.44	6.1	20.7	33.5	30.8	0.2	6335
Q028	A2	6.53	6.38	1.26	6.6	2.9	37.9	36.5	0.1	6144
Q028	A2	8.62	8.23	1.26	6.3	1.7	38.2	37.8	0.1	6240
Q028	A2	8.23	8.33	1.47	6.6	26	28.5	29.9	0.2	4967
Q036	A2	22.22	22.32	1.32	6.4	6.1	37.3	33.2	0.23	6975
Q036	A2	22.32	23.57	1.3	6.8	8.2	41.5	32.4	0.1	6314
Q036	A2	23.57	23.67	1.36	6	11.2	37.3	35.6	0.2	6070
Q036	A2	23.96	24.06	1.34	6.1	7.2	38.4	37.4	0.2	6241
Q036	A2	24.06	29.24	1.26	6.6	2.2	39.2	36.1	0.1	6232
Q036	A2	29.24	29.34	1.33	6.1	7.4	38.5	37	0.3	6304
Q036	B	34.94	35.04	1.29	6.2	4.3	40.8	32.7	0.12	6197
Q036	B	35.04	39.36	1.28	6.6	2.7	37.8	37.9	0.1	6326
Q036	B	39.36	39.46	1.31	6.7	2.5	34.7	37.1	0.08	6949
Q040	A2	27.42	27.52	1.34	6.3	8.4	37.7	32.7	0.27	6880
Q040	A2	27.52	31.38	1.27	6.8	2.3	41.1	35.8	0.1	6362
Q040	A2	31.38	35.11	1.26	6.8	2.1	40.3	36.7	0.1	6389
Q040	A2	35.11	35.21	1.54	6.4	30.4	25.4	25.8	0.18	6499
Q042	A2	38.3	39	1.33	6.4	2.7	45	37.7	0.11	6714
Q042	A2	39	40.9	1.32	6.8	2.7	40.9	33.4	0.09	6361
Q042	A2	40.9	43.3	1.33	6.4	2.2	47.2	35.9	0.09	6299
Q042	A2	43.3	45.7	1.3	6.8	2.1	55.1	27.7	0.1	6304
Q042	A2	45.7	45.88	1.39	6.2	11.3	41.2	37.6	0.25	6144
Q042	B	54.32	54.8	1.42	6.8	16.7	41.5	30	0.2	6721
Q042	B	54.8	57	1.29	6.2	2.4	38.9	35.5	0.12	6117
Q042	B	57	57.17	1.41	6.7	18.5	41.2	28.6	0.15	6946
Q048	A1	33	33.1	1.31	6.7	8.1	42.4	32.8	0.3	6276
Q048	A1	33.1	35.79	1.26	6.1	3.4	40.9	34.6	0.2	6309
Q048	A1	35.79	35.89	1.35	6.9	7.4	38.3	35.4	0.2	6845
Q048	A2	36.39	36.49	1.33	6.2	5.5	38.9	35.4	0.3	6921
Q048	A2	36.49	41.05	1.26	6.3	2.1	39.4	36.3	0.1	6199
Q048	A2	41.05	45.1	1.26	6.3	1.9	39.3	36.4	0.1	6189
Q048	A2	45.1	45.53	1.34	6.8	10.9	42.7	27.7	0.2	6861
Q048	B	53.92	56.02	1.39	6.9	15.6	33.4	34.1	0.2	6537
Q048	B	56.02	56.14	1.27	6.5	3.2	38.2	36	0.2	6160
Q051	A	3	5.9	1.27	6.6	2.1	40.9	36.3	0.1	6345
Q051	A	5.9	6	1.37	6	19.1	40.6	24.3	0.14	6918
Q051	B	13.97	14.07	1.31	6.5	5.6	39.5	32.4	0.22	6099
Q051	B	14.07	16.55	1.28	6.8	2.4	37.4	33.4	0.14	6011
Q051	B	16.55	16.65	1.38	6.5	14.4	34.9	30.2	0.18	6624
Q056	A	8.71	8.81	1.36	6.7	9	36.1	37.1	0.3	6936
Q056	A	8.81	8.31	1.27	6.4	3.8	38.5	35.3	0.2	6062
Q056	A	13.31	17.81	1.27	6.5	2.2	39.1	36.2	0.2	6140
Q056	A	17.81	22.1	1.26	6.5	2.1	39.9	35.6	0.2	6227
Q056	A	22.1	22.2	1.31	6	6.3	36.6	37.1	0.2	6160
