FAULTS01           5182.63 4594.00 35.00 115.00 10.00 - - 2000.00 1
FAULTS01           5222.63 4428.00 20.00 115.00 10.00 - -
FAULTS01           5236.97 4359.00 10.00 115.00 10.00 - -
FAULTS01           5240.00 4298.00 0.00 115.00 10.00 - -
FAULTS01           5256.94 4251.00 -20.00 115.00 10.00 - -
FAULTS01           5262.34 4210.00 -30.00 115.00 10.00 - -
FAULTS01           5270.50 4158.00 -40.00 115.00 10.00 - -
FAULTS01           5282.97 4106.00 -50.00 115.00 10.00 - -
FAULTS01           5306.00 4011.00 -70.00 115.00 10.00 - -
FAULTS01           5330.50 3855.00 -105.00 115.00 10.00 - -
FAULTS01           5394.19 3638.00 -140.00 115.00 10.00 - -
